id,pl_hostname,pl_letter,display_name,description,discovery_date,url,title,feature_title,mass_display,planet_type,st_dist,st_optmag,pl_radj,pl_rade,pl_massj,pl_discmethod,image,list_image,short_description,ranger_feature_id,ranger_system_id,ranger_system,exo_id,subtitle,categories,pl_kepflag,pl_facility,long_description
36,Kepler-409,b,Kepler-409 b,"Kepler-409 b is a super Earth exoplanet that orbits a G-type star. Its mass is 6 Earths, it takes 69 days to complete one orbit of its star, and is 0.3192 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/36/kepler-409-b/,Kepler-409 b,Kepler-409 b,6 Earths,Super Earth,222.0,9.636,0.107,1.199,0.01888,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-409 b is a super Earth exoplanet that orbits a G-type star. Its mass is 6 Earths, it takes 69 days to complete one orbit of its star, and is 0.3192 AU from its star. Its discovery was announced in 2014.",Kepler-409_b,Kepler-409,False,Kepler-409_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
60,Kepler-435,b,Kepler-435 b,"Kepler-435 b is a gas giant exoplanet that orbits an F-type star. Its mass is 0.84 Jupiters, it takes 8.6 days to complete one orbit of its star, and is 0.0948 AU from its star. Its discovery was announced in 2015.",2015,/exoplanet-catalog/60/kepler-435-b/,Kepler-435 b,Kepler-435 b,0.84 Jupiters,Gas Giant,4628.0,13.704,1.99,22.31,0.84,Transit,/assets/content/planets/gasgiant.jpg,/assets/content/planets/gasgiant_sq.jpg,"Kepler-435 b is a gas giant exoplanet that orbits an F-type star. Its mass is 0.84 Jupiters, it takes 8.6 days to complete one orbit of its star, and is 0.0948 AU from its star. Its discovery was announced in 2015.",Kepler-435_b,Kepler-435,False,Kepler-435_b,A giant planet composed mainly of gas,[],True,Kepler,
181,WASP-84,b,WASP-84 b,"WASP-84 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.694 Jupiters, it takes 8.5 days to complete one orbit of its star, and is 0.0771 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/181/wasp-84-b/,WASP-84 b,WASP-84 b,0.694 Jupiters,Gas Giant,328.0,10.825,0.942,10.559,0.694,Transit,/assets/content/planets/gasgiant.jpg,/assets/content/planets/gasgiant_sq.jpg,"WASP-84 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.694 Jupiters, it takes 8.5 days to complete one orbit of its star, and is 0.0771 AU from its star. Its discovery was announced in 2014.",WASP-84_b,WASP-84,False,WASP-84_b,A giant planet composed mainly of gas,[],False,SuperWASP,
255,HAT-P-13,c,HAT-P-13 c,"HAT-P-13 c is a gas giant exoplanet that orbits a G-type star. Its mass is 14.28 Jupiters, it takes 446.3 days to complete one orbit of its star, and is 1.258 AU from its star. Its discovery was announced in 2009.",2009,/exoplanet-catalog/255/hat-p-13-c/,HAT-P-13 c,HAT-P-13 c,14.28 Jupiters,Gas Giant,805.0,10.421,1.1,12.3,14.28,Radial Velocity,/assets/content/planets/gasgiant.jpg,/assets/content/planets/gasgiant_sq.jpg,"HAT-P-13 c is a gas giant exoplanet that orbits a G-type star. Its mass is 14.28 Jupiters, it takes 446.3 days to complete one orbit of its star, and is 1.258 AU from its star. Its discovery was announced in 2009.",HAT-P-13_c,HAT-P-13,False,HAT-P-13_c,A giant planet composed mainly of gas,[],False,W. M. Keck Observatory,
256,HAT-P-17,c,HAT-P-17 c,"HAT-P-17 c is a gas giant exoplanet that orbits a G-type star. Its mass is 3.4 Jupiters, it takes 15.3 years to complete one orbit of its star, and is 5.6 AU from its star. Its discovery was announced in 2010.",2010,/exoplanet-catalog/256/hat-p-17-c/,HAT-P-17 c,HAT-P-17 c,3.4 Jupiters,Gas Giant,301.0,10.375,1.17,13.1,3.4,Radial Velocity,/assets/content/planets/gasgiant.jpg,/assets/content/planets/gasgiant_sq.jpg,"HAT-P-17 c is a gas giant exoplanet that orbits a G-type star. Its mass is 3.4 Jupiters, it takes 15.3 years to complete one orbit of its star, and is 5.6 AU from its star. Its discovery was announced in 2010.",HAT-P-17_c,HAT-P-17,False,HAT-P-17_c,A giant planet composed mainly of gas,[],False,W. M. Keck Observatory,
257,HAT-P-35,b,HAT-P-35 b,"HAT-P-35 b is a gas giant exoplanet that orbits an F-type star. Its mass is 1.056 Jupiters, it takes 3.6 days to complete one orbit of its star, and is 0.04978 AU from its star. Its discovery was announced in 2011.",2011,/exoplanet-catalog/257/hat-p-35-b/,HAT-P-35 b,HAT-P-35 b,1.056 Jupiters,Gas Giant,1654.0,12.389,1.332,14.93,1.056,Transit,/assets/content/planets/gasgiant.jpg,/assets/content/planets/gasgiant_sq.jpg,"HAT-P-35 b is a gas giant exoplanet that orbits an F-type star. Its mass is 1.056 Jupiters, it takes 3.6 days to complete one orbit of its star, and is 0.04978 AU from its star. Its discovery was announced in 2011.",HAT-P-35_b,HAT-P-35,False,HAT-P-35_b,A giant planet composed mainly of gas,[],False,HATNet,
258,HAT-P-4,b,HAT-P-4 b,"HAT-P-4 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.671 Jupiters, it takes 3.1 days to complete one orbit of its star, and is 0.04438 AU from its star. Its discovery was announced in 2007.",2007,/exoplanet-catalog/258/hat-p-4-b/,HAT-P-4 b,HAT-P-4 b,0.671 Jupiters,Gas Giant,1045.0,11.118,1.274,14.28,0.671,Transit,/assets/content/planets/gasgiant.jpg,/assets/content/planets/gasgiant_sq.jpg,"HAT-P-4 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.671 Jupiters, it takes 3.1 days to complete one orbit of its star, and is 0.04438 AU from its star. Its discovery was announced in 2007.",HAT-P-4_b,HAT-P-4,False,HAT-P-4_b,A giant planet composed mainly of gas,[],False,HATNet,
259,HATS-1,b,HATS-1 b,"HATS-1 b is a gas giant exoplanet that orbits a G-type star. Its mass is 1.855 Jupiters, it takes 3.4 days to complete one orbit of its star, and is 0.0444 AU from its star. Its discovery was announced in 2012.",2012,/exoplanet-catalog/259/hats-1-b/,HATS-1 b,HATS-1 b,1.855 Jupiters,Gas Giant,926.0,12.155,1.302,14.594,1.855,Transit,/assets/content/planets/gasgiant.jpg,/assets/content/planets/gasgiant_sq.jpg,"HATS-1 b is a gas giant exoplanet that orbits a G-type star. Its mass is 1.855 Jupiters, it takes 3.4 days to complete one orbit of its star, and is 0.0444 AU from its star. Its discovery was announced in 2012.",HATS-1_b,HATS-1,False,HATS-1_b,A giant planet composed mainly of gas,[],False,HATSouth,
260,HATS-4,b,HATS-4 b,"HATS-4 b is a gas giant exoplanet that orbits a G-type star. Its mass is 1.323 Jupiters, it takes 2.5 days to complete one orbit of its star, and is 0.0362 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/260/hats-4-b/,HATS-4 b,HATS-4 b,1.323 Jupiters,Gas Giant,1358.0,13.516,1.02,11.433,1.323,Transit,/assets/content/planets/gasgiant.jpg,/assets/content/planets/gasgiant_sq.jpg,"HATS-4 b is a gas giant exoplanet that orbits a G-type star. Its mass is 1.323 Jupiters, it takes 2.5 days to complete one orbit of its star, and is 0.0362 AU from its star. Its discovery was announced in 2014.",HATS-4_b,HATS-4,False,HATS-4_b,A giant planet composed mainly of gas,[],False,HATSouth,
304,Kepler-182,b,Kepler-182 b,"Kepler-182 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.18 Earths, it takes 9.8 days to complete one orbit of its star, and is 0.096 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/304/kepler-182-b/,Kepler-182 b,Kepler-182 b,7.18 Earths,Neptune-like,5053.0,14.942,0.23,2.58,0.0226,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-182 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.18 Earths, it takes 9.8 days to complete one orbit of its star, and is 0.096 AU from its star. Its discovery was announced in 2014.",Kepler-182_b,Kepler-182,False,Kepler-182_b,A Neptune-like gas giant planet,[],True,Kepler,
305,Kepler-182,c,Kepler-182 c,"Kepler-182 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 11.6 Earths, it takes 20.7 days to complete one orbit of its star, and is 0.157 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/305/kepler-182-c/,Kepler-182 c,Kepler-182 c,11.6 Earths,Neptune-like,5053.0,14.942,0.306,3.43,0.0366,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-182 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 11.6 Earths, it takes 20.7 days to complete one orbit of its star, and is 0.157 AU from its star. Its discovery was announced in 2014.",Kepler-182_c,Kepler-182,False,Kepler-182_c,A Neptune-like gas giant planet,[],True,Kepler,
306,Kepler-183,b,Kepler-183 b,"Kepler-183 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.9 Earths, it takes 5.7 days to complete one orbit of its star, and is 0.064 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/306/kepler-183-b/,Kepler-183 b,Kepler-183 b,4.9 Earths,Super Earth,3427.0,14.993,0.184,2.06,0.0154,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-183 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.9 Earths, it takes 5.7 days to complete one orbit of its star, and is 0.064 AU from its star. Its discovery was announced in 2014.",Kepler-183_b,Kepler-183,False,Kepler-183_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
307,Kepler-183,c,Kepler-183 c,"Kepler-183 c is a super Earth exoplanet that orbits a G-type star. Its mass is 35.7 Earths, it takes 11.6 days to complete one orbit of its star, and is 0.103 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/307/kepler-183-c/,Kepler-183 c,Kepler-183 c,35.7 Earths,Super Earth,3427.0,14.993,0.203,2.27,0.112,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-183 c is a super Earth exoplanet that orbits a G-type star. Its mass is 35.7 Earths, it takes 11.6 days to complete one orbit of its star, and is 0.103 AU from its star. Its discovery was announced in 2014.",Kepler-183_c,Kepler-183,False,Kepler-183_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
308,Kepler-184,b,Kepler-184 b,"Kepler-184 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.17 Earths, it takes 10.7 days to complete one orbit of its star, and is 0.092 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/308/kepler-184-b/,Kepler-184 b,Kepler-184 b,6.17 Earths,Neptune-like,1991.0,14.42,0.211,2.36,0.0194,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-184 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.17 Earths, it takes 10.7 days to complete one orbit of its star, and is 0.092 AU from its star. Its discovery was announced in 2014.",Kepler-184_b,Kepler-184,False,Kepler-184_b,A Neptune-like gas giant planet,[],True,Kepler,
309,Kepler-184,c,Kepler-184 c,"Kepler-184 c is a super Earth exoplanet that orbits a G-type star. Its mass is 8.8 Earths, it takes 20.3 days to complete one orbit of its star, and is 0.141 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/309/kepler-184-c/,Kepler-184 c,Kepler-184 c,8.8 Earths,Super Earth,1991.0,14.42,0.176,1.97,0.028,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-184 c is a super Earth exoplanet that orbits a G-type star. Its mass is 8.8 Earths, it takes 20.3 days to complete one orbit of its star, and is 0.141 AU from its star. Its discovery was announced in 2014.",Kepler-184_c,Kepler-184,False,Kepler-184_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
310,Kepler-184,d,Kepler-184 d,"Kepler-184 d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.76 Earths, it takes 29 days to complete one orbit of its star, and is 0.179 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/310/kepler-184-d/,Kepler-184 d,Kepler-184 d,6.76 Earths,Neptune-like,1991.0,14.42,0.222,2.49,0.0213,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-184 d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.76 Earths, it takes 29 days to complete one orbit of its star, and is 0.179 AU from its star. Its discovery was announced in 2014.",Kepler-184_d,Kepler-184,False,Kepler-184_d,A Neptune-like gas giant planet,[],True,Kepler,
311,Kepler-185,b,Kepler-185 b,"Kepler-185 b is a super Earth exoplanet that orbits a K-type star. Its mass is 1.71 Earths, it takes 1.6 days to complete one orbit of its star, and is 0.026 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/311/kepler-185-b/,Kepler-185 b,Kepler-185 b,1.71 Earths,Super Earth,1522.0,14.562,0.104,1.17,0.00537,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-185 b is a super Earth exoplanet that orbits a K-type star. Its mass is 1.71 Earths, it takes 1.6 days to complete one orbit of its star, and is 0.026 AU from its star. Its discovery was announced in 2014.",Kepler-185_b,Kepler-185,False,Kepler-185_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
312,Kepler-185,c,Kepler-185 c,"Kepler-185 c is a super Earth exoplanet that orbits a K-type star. Its mass is 4.74 Earths, it takes 20.7 days to complete one orbit of its star, and is 0.139 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/312/kepler-185-c/,Kepler-185 c,Kepler-185 c,4.74 Earths,Super Earth,1522.0,14.562,0.18,2.02,0.0149,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-185 c is a super Earth exoplanet that orbits a K-type star. Its mass is 4.74 Earths, it takes 20.7 days to complete one orbit of its star, and is 0.139 AU from its star. Its discovery was announced in 2014.",Kepler-185_c,Kepler-185,False,Kepler-185_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
313,Kepler-186,c,Kepler-186 c,"Kepler-186 c is a super Earth exoplanet that orbits an M-type star. Its mass is 2.1 Earths, it takes 7.3 days to complete one orbit of its star, and is 0.0451 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/313/kepler-186-c/,Kepler-186 c,Kepler-186 c,2.1 Earths,Super Earth,579.0,15.138,0.112,1.25,0.0066,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-186 c is a super Earth exoplanet that orbits an M-type star. Its mass is 2.1 Earths, it takes 7.3 days to complete one orbit of its star, and is 0.0451 AU from its star. Its discovery was announced in 2014.",Kepler-186_c,Kepler-186,False,Kepler-186_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
314,Kepler-186,d,Kepler-186 d,"Kepler-186 d is a super Earth exoplanet that orbits an M-type star. Its mass is 2.54 Earths, it takes 13.3 days to complete one orbit of its star, and is 0.0781 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/314/kepler-186-d/,Kepler-186 d,Kepler-186 d,2.54 Earths,Super Earth,579.0,15.138,0.125,1.4,0.008,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-186 d is a super Earth exoplanet that orbits an M-type star. Its mass is 2.54 Earths, it takes 13.3 days to complete one orbit of its star, and is 0.0781 AU from its star. Its discovery was announced in 2014.",Kepler-186_d,Kepler-186,False,Kepler-186_d,"A potentially rocky world, larger than Earth",[],True,Kepler,
315,Kepler-186,e,Kepler-186 e,"Kepler-186 e is a super Earth exoplanet that orbits an M-type star. Its mass is 2.15 Earths, it takes 22.4 days to complete one orbit of its star, and is 0.11 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/315/kepler-186-e/,Kepler-186 e,Kepler-186 e,2.15 Earths,Super Earth,579.0,15.138,0.113,1.27,0.00678,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-186 e is a super Earth exoplanet that orbits an M-type star. Its mass is 2.15 Earths, it takes 22.4 days to complete one orbit of its star, and is 0.11 AU from its star. Its discovery was announced in 2014.",Kepler-186_e,Kepler-186,False,Kepler-186_e,"A potentially rocky world, larger than Earth",[],True,Kepler,
316,Kepler-187,b,Kepler-187 b,"Kepler-187 b is a super Earth exoplanet that orbits an F-type star. Its mass is 2.57 Earths, it takes 4.9 days to complete one orbit of its star, and is 0.059 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/316/kepler-187-b/,Kepler-187 b,Kepler-187 b,2.57 Earths,Super Earth,3728.0,14.297,0.126,1.41,0.00809,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-187 b is a super Earth exoplanet that orbits an F-type star. Its mass is 2.57 Earths, it takes 4.9 days to complete one orbit of its star, and is 0.059 AU from its star. Its discovery was announced in 2014.",Kepler-187_b,Kepler-187,False,Kepler-187_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
317,Kepler-187,c,Kepler-187 c,"Kepler-187 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.61 Earths, it takes 10.6 days to complete one orbit of its star, and is 0.099 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/317/kepler-187-c/,Kepler-187 c,Kepler-187 c,7.61 Earths,Neptune-like,3728.0,14.297,0.238,2.67,0.0239,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-187 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.61 Earths, it takes 10.6 days to complete one orbit of its star, and is 0.099 AU from its star. Its discovery was announced in 2014.",Kepler-187_c,Kepler-187,False,Kepler-187_c,A Neptune-like gas giant planet,[],True,Kepler,
318,Kepler-188,b,Kepler-188 b,"Kepler-188 b is a super Earth exoplanet that orbits an F-type star. Its mass is 3.46 Earths, it takes 2.1 days to complete one orbit of its star, and is 0.032 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/318/kepler-188-b/,Kepler-188 b,Kepler-188 b,3.46 Earths,Super Earth,3159.0,14.719,0.15,1.68,0.0109,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-188 b is a super Earth exoplanet that orbits an F-type star. Its mass is 3.46 Earths, it takes 2.1 days to complete one orbit of its star, and is 0.032 AU from its star. Its discovery was announced in 2014.",Kepler-188_b,Kepler-188,False,Kepler-188_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
319,Kepler-189,b,Kepler-189 b,"Kepler-189 b is a super Earth exoplanet that orbits a K-type star. Its mass is 1.92 Earths, it takes 10.4 days to complete one orbit of its star, and is 0.088 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/319/kepler-189-b/,Kepler-189 b,Kepler-189 b,1.92 Earths,Super Earth,1930.0,14.971,0.108,1.21,0.00606,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-189 b is a super Earth exoplanet that orbits a K-type star. Its mass is 1.92 Earths, it takes 10.4 days to complete one orbit of its star, and is 0.088 AU from its star. Its discovery was announced in 2014.",Kepler-189_b,Kepler-189,False,Kepler-189_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
320,Kepler-189,c,Kepler-189 c,"Kepler-189 c is a super Earth exoplanet that orbits a K-type star. Its mass is 22.7 Earths, it takes 20.1 days to complete one orbit of its star, and is 0.137 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/320/kepler-189-c/,Kepler-189 c,Kepler-189 c,22.7 Earths,Super Earth,1930.0,14.971,0.212,2.38,0.071,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-189 c is a super Earth exoplanet that orbits a K-type star. Its mass is 22.7 Earths, it takes 20.1 days to complete one orbit of its star, and is 0.137 AU from its star. Its discovery was announced in 2014.",Kepler-189_c,Kepler-189,False,Kepler-189_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
321,Kepler-190,b,Kepler-190 b,"Kepler-190 b is a super Earth exoplanet that orbits a K-type star. Its mass is 3.05 Earths, it takes 2 days to complete one orbit of its star, and is 0.03 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/321/kepler-190-b/,Kepler-190 b,Kepler-190 b,3.05 Earths,Super Earth,1414.0,14.336,0.139,1.56,0.00961,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-190 b is a super Earth exoplanet that orbits a K-type star. Its mass is 3.05 Earths, it takes 2 days to complete one orbit of its star, and is 0.03 AU from its star. Its discovery was announced in 2014.",Kepler-190_b,Kepler-190,False,Kepler-190_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
322,Kepler-190,c,Kepler-190 c,"Kepler-190 c is a super Earth exoplanet that orbits a K-type star. Its mass is 2.73 Earths, it takes 3.8 days to complete one orbit of its star, and is 0.045 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/322/kepler-190-c/,Kepler-190 c,Kepler-190 c,2.73 Earths,Super Earth,1414.0,14.336,0.13,1.46,0.00859,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-190 c is a super Earth exoplanet that orbits a K-type star. Its mass is 2.73 Earths, it takes 3.8 days to complete one orbit of its star, and is 0.045 AU from its star. Its discovery was announced in 2014.",Kepler-190_c,Kepler-190,False,Kepler-190_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
323,Kepler-191,c,Kepler-191 c,"Kepler-191 c is a super Earth exoplanet that orbits a K-type star. Its mass is 4.12 Earths, it takes 17.7 days to complete one orbit of its star, and is 0.128 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/323/kepler-191-c/,Kepler-191 c,Kepler-191 c,4.12 Earths,Super Earth,1939.0,14.987,0.166,1.86,0.013,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-191 c is a super Earth exoplanet that orbits a K-type star. Its mass is 4.12 Earths, it takes 17.7 days to complete one orbit of its star, and is 0.128 AU from its star. Its discovery was announced in 2014.",Kepler-191_c,Kepler-191,False,Kepler-191_c,"A potentially rocky world, larger than Earth",[],True,Kepler,
324,Kepler-192,b,Kepler-192 b,"Kepler-192 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.95 Earths, it takes 9.9 days to complete one orbit of its star, and is 0.09 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/324/kepler-192-b/,Kepler-192 b,Kepler-192 b,7.95 Earths,Neptune-like,2126.0,14.308,0.244,2.74,0.025,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-192 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.95 Earths, it takes 9.9 days to complete one orbit of its star, and is 0.09 AU from its star. Its discovery was announced in 2014.",Kepler-192_b,Kepler-192,False,Kepler-192_b,A Neptune-like gas giant planet,[],True,Kepler,
325,Kepler-192,c,Kepler-192 c,"Kepler-192 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.2 Earths, it takes 21.2 days to complete one orbit of its star, and is 0.15 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/325/kepler-192-c/,Kepler-192 c,Kepler-192 c,8.2 Earths,Neptune-like,2126.0,14.308,0.249,2.79,0.0258,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-192 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.2 Earths, it takes 21.2 days to complete one orbit of its star, and is 0.15 AU from its star. Its discovery was announced in 2014.",Kepler-192_c,Kepler-192,False,Kepler-192_c,A Neptune-like gas giant planet,[],True,Kepler,
326,Kepler-193,c,Kepler-193 c,"Kepler-193 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 8 Earths, it takes 50.7 days to complete one orbit of its star, and is 0.286 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/326/kepler-193-c/,Kepler-193 c,Kepler-193 c,8 Earths,Neptune-like,3292.0,14.712,0.245,2.75,0.0252,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-193 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 8 Earths, it takes 50.7 days to complete one orbit of its star, and is 0.286 AU from its star. Its discovery was announced in 2014.",Kepler-193_c,Kepler-193,False,Kepler-193_c,A Neptune-like gas giant planet,[],True,Kepler,
327,Kepler-194,b,Kepler-194 b,"Kepler-194 b is a super Earth exoplanet that orbits an F-type star. Its mass is 2.89 Earths, it takes 2.1 days to complete one orbit of its star, and is 0.032 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/327/kepler-194-b/,Kepler-194 b,Kepler-194 b,2.89 Earths,Super Earth,3582.0,14.969,0.135,1.51,0.00909,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-194 b is a super Earth exoplanet that orbits an F-type star. Its mass is 2.89 Earths, it takes 2.1 days to complete one orbit of its star, and is 0.032 AU from its star. Its discovery was announced in 2014.",Kepler-194_b,Kepler-194,False,Kepler-194_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
328,Kepler-194,c,Kepler-194 c,"Kepler-194 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.22 Earths, it takes 17.3 days to complete one orbit of its star, and is 0.131 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/328/kepler-194-c/,Kepler-194 c,Kepler-194 c,7.22 Earths,Neptune-like,3582.0,14.969,0.231,2.59,0.0227,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-194 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.22 Earths, it takes 17.3 days to complete one orbit of its star, and is 0.131 AU from its star. Its discovery was announced in 2014.",Kepler-194_c,Kepler-194,False,Kepler-194_c,A Neptune-like gas giant planet,[],True,Kepler,
355,Kepler-53,d,Kepler-53 d,"Kepler-53 d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 5.14 Earths, it takes 9.8 days to complete one orbit of its star, and is 0.091 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/355/kepler-53-d/,Kepler-53 d,Kepler-53 d,5.14 Earths,Neptune-like,4456.0,15.367,0.189,2.12,0.0162,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-53 d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 5.14 Earths, it takes 9.8 days to complete one orbit of its star, and is 0.091 AU from its star. Its discovery was announced in 2014.",Kepler-53_d,Kepler-53,False,Kepler-53_d,A Neptune-like gas giant planet,[],True,Kepler,
356,Kepler-54,b,Kepler-54 b,"Kepler-54 b is a super Earth exoplanet that orbits an M-type star. Its mass is 21.5 Earths, it takes 8 days to complete one orbit of its star, and is 0.0619 AU from its star. Its discovery was announced in 2012.",2012,/exoplanet-catalog/356/kepler-54-b/,Kepler-54 b,Kepler-54 b,21.5 Earths,Super Earth,886.0,16.282,0.187,2.1,0.068,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-54 b is a super Earth exoplanet that orbits an M-type star. Its mass is 21.5 Earths, it takes 8 days to complete one orbit of its star, and is 0.0619 AU from its star. Its discovery was announced in 2012.",Kepler-54_b,Kepler-54,False,Kepler-54_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
